GEOID,median_income,avg_income,pct_bachelors
010119525003,60944,63379.53964194373,0.1085814360770578
010139527001,41950,64087.47884940778,0.1111111111111111
010139527002,54638,62897.9094076655,0.1926782273603083
010139528001,77250,91036.28509719223,0.2577565632458234
010139529001,56250,64014.65201465201,0.23333333333333334
010139529002,44688,60673.42995169082,0.1685508735868448
010139530001,53375,60143.24324324324,0.03064066852367688
010139530002,36146,52460.36363636364,0.0614406779661017
010139531001,25800,43938.304093567254,0.049429657794676805
010139531002,27594,31042.662116040956,0.03619047619047619
010139531003,55000,96020.54054054055,0.016282225237449117
010139532001,-666666666,82387.26114649682,0.25274725274725274
010139532002,34268,48810.54852320675,0.16493656286043828
010139532003,59938,82504.75059382422,0.1357308584686775
010139532004,63523,76046.90909090909,0.21749408983451538
010139533001,-666666666,80664.09495548962,0.0639269406392694
010139533002,55000,70196.8309859155,0.11267605633802817
010139534001,24850,41905.22522522522,0.10647181628392484
010139534002,-666666666,88444.05737704918,0.18950749464668093
010139535001,43508,60941.421947449766,0.08179162609542356
010150002001,44583,47877.521613832854,0.2171945701357466
010150002002,36887,58687.2311827957,0.21739130434782608
010150003001,32159,36587.30703259005,0.008985879332477536
010150003002,23750,32611.546391752578,0.08695652173913043
010150004001,32083,61439.650872817954,0.0
010150004002,35206,29133.41968911917,0.0
010150004003,-666666666,34677.75119617225,0.0945945945945946
010150005001,20139,31382.272727272728,0.13861386138613863
010150005002,-666666666,41161.79775280899,0.0
010150006001,-666666666,30693.11163895487,0.04009163802978236
010150006002,20258,34136.023054755045,0.0
010150007001,59167,97138.70967741935,0.2967741935483871
010150007002,27179,42415.26195899772,0.023547880690737835
010150007003,25667,63294.351464435145,0.14749661705006767
010150007004,-666666666,-inf,0.0
010150008001,31667,54610.0,0.07414829659318638
010150009001,70714,84771.25748502994,0.5166051660516605
010150009002,80399,99133.57041251779,0.524901185770751
010150009003,101071,139559.8148148148,0.42618629173989453
010150010001,98576,106749.23928077455,0.4177215189873418
010150010002,76346,87392.40506329114,0.3635280095351609
010150010003,87279,113902.59965337956,0.21474358974358973
010150010004,57730,54119.41251596424,0.27843986998916576
010150011011,-666666666,122636.47540983607,0.022556390977443608
010150011012,75625,127108.91608391609,0.3381974248927039
010150011021,-666666666,58724.686192468616,0.13612565445026178
010150011022,34880,39276.38888888889,0.16414686825053995
010150011031,58324,96594.60784313726,0.1225296442687747
010150011032,66806,91027.29044834308,0.28444676409185804
010150011033,34133,51082.20858895705,0.1503267973856209
010150012011,44550,72911.32530120482,0.2661782661782662
010150012012,41083,43487.755102040814,0.24454828660436137
