geoid,statefp,countyfp,county_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
05109,05,109,Pike,2850612.9167744196,0.0,2822837.2860779506,27775.630696468987,2025-10-31
05129,05,129,Searcy,125110.43349966772,0.0,112105.99413013723,13004.43936953049,2025-10-31
05117,05,117,Prairie,163017.11275717436,0.0,140648.93007397326,22368.1826832011,2025-10-31
05025,05,025,Cleveland,6798.514272076015,0.0,6798.514272076015,0.0,2025-10-31
05019,05,019,Clark,745433.551376186,335051.67791239417,927049.3453890138,153435.88389956637,2025-10-31
05015,05,015,Carroll,5889327.648010591,776383.9266254645,6628769.858822078,36941.71581397671,2025-10-31
05135,05,135,Sharp,425827.09597309906,51493.073657250236,428066.27810028946,49253.8915300598,2025-10-31
05123,05,123,St. Francis,90015.38843749899,155505.08955684956,226035.57344151352,19484.90455283504,2025-10-31
05137,05,137,Stone,368692.04898948554,0.0,368692.0489894854,1.1641532182693481e-10,2025-10-31
05097,05,097,Montgomery,5885.993385728299,0.0,5885.993385728299,0.0,2025-10-31
05023,05,023,Cleburne,186801.339670662,43066.89334077815,169531.63602362853,60336.596987811645,2025-10-31
05059,05,059,Hot Spring,471160.4241495743,212394.89162510395,524580.3844589026,158974.9313157756,2025-10-31
05027,05,027,Columbia,293105.89156317496,290206.63587604335,392657.64408581314,190654.8833534051,2025-10-31
05113,05,113,Polk,230946.39382827427,101013.34945815682,266967.4763729753,64992.266913455795,2025-10-31
05067,05,067,Jackson,238764.34178686392,264967.58232076716,321261.71318211535,182470.21092551574,2025-10-31
05095,05,095,Monroe,515335.80208477017,301765.3568483388,540474.0040050279,276627.15492808097,2025-10-31
05043,05,043,Drew,379861.4402465781,153385.8614378642,372580.49539570103,160666.80628874118,2025-10-31
05017,05,017,Chicot,53722.77460507064,93429.58846353865,116507.55707128553,30644.80599732377,2025-10-31
05089,05,089,Marion,256686.9516842952,0.0,222910.40899083298,33776.54269346222,2025-10-31
05007,05,007,Benton,15938048.400105752,6677190.636708328,16383688.482621929,6231550.55419215,2025-10-31
05003,05,003,Ashley,832998.7886715324,516923.6249365002,1038958.614898284,310963.7987097488,2025-10-31
05105,05,105,Perry,97550.20089129076,0.0,97385.47087435698,164.7300169337832,2025-10-31
05005,05,005,Baxter,762092.9517768262,835280.3025685013,1060847.478382585,536525.7759627425,2025-10-31
05029,05,029,Conway,399649.3306067894,276093.09812645253,506713.42070854944,169029.00802469254,2025-10-31
05101,05,101,Newton,70049.27590339494,0.0,57483.91892077566,12565.356982619283,2025-10-31
05039,05,039,Dallas,354792.3165778159,234903.05825070734,342560.0564300356,247135.31839848764,2025-10-31
05131,05,131,Sebastian,4370935.375171272,5334624.430912227,7235159.227782679,2470400.5783008216,2025-10-31
05119,05,119,Pulaski,25595652.917437986,29615803.341365032,37234440.167443104,17977016.091359913,2025-10-31
05083,05,083,Logan,453400.2899078594,252477.6162154404,414710.2283275987,291167.67779570114,2025-10-31
05041,05,041,Desha,605127.4002219895,310862.18341831665,606808.889384807,309180.69425549917,2025-10-31
05133,05,133,Sevier,235670.2054410909,183826.22097410721,300372.5064096246,119123.92000557354,2025-10-31
05033,05,033,Crawford,2338107.994123551,1158387.1120155742,2474730.3972983635,1021764.7088407618,2025-10-31
05079,05,079,Lincoln,125793.76259455059,0.0,106151.14781156178,19642.614782988807,2025-10-31
05057,05,057,Hempstead,1120286.957721403,576746.9406429677,1068784.9098258922,628248.9885384785,2025-10-31
05115,05,115,Pope,3065247.42177438,683814.7452094874,2928827.918206431,820234.2487774361,2025-10-31
05049,05,049,Fulton,301329.7671902925,82143.38831093008,358052.69974224217,25420.455758980417,2025-10-31
05091,05,091,Miller,1064287.23175395,627314.665714005,1077972.0824477882,613629.8150201668,2025-10-31
05047,05,047,Franklin,474357.9500039116,262844.2403873451,455035.489722106,282166.7006691507,2025-10-31
05069,05,069,Jefferson,5405442.19770735,2798428.6766136917,5324382.534894872,2879488.339426169,2025-10-31
