statefp,placefp,city_name,osm_area_m2,parkserve_area_m2,combined_area_m2,overlap_area_m2,date
01,40672,La Fayette,,,,,2025-11-04
01,73848,Sumiton,,,,,2025-11-04
01,12016,Carbon Hill,,,,,2025-11-04
01,21136,Dora,,,,,2025-11-04
01,38416,Jasper,,,,,2025-11-04
01,69240,Semmes,,,,,2025-11-04
01,55992,Oakman,,,,,2025-11-04
01,19216,Cusseta,,,,,2025-11-04
01,05812,Berlin,,,,,2025-11-04
01,59760,Pike Road,,,,,2025-11-04
01,15376,Clayton,,,,,2025-11-04
01,53376,Natural Bridge,,,,,2025-11-04
01,44800,Lynn,,,,,2025-11-04
01,39280,Kansas,,,,,2025-11-04
01,21184,Dothan,,,,,2025-11-04
01,54600,Newville,,,,,2025-11-04
01,04900,Beatrice,,,,,2025-11-04
01,37000,Huntsville,,,,,2025-11-04
01,32440,Gurley,,,,,2025-11-04
01,76824,Triana,,,,,2025-11-04
01,54168,New Hope,,,,,2025-11-04
01,60720,Pisgah,,,,,2025-11-04
01,83664,Woodville,,,,,2025-11-04
01,30640,Goodwater,,,,,2025-11-04
01,57048,Opelika,,,,,2025-11-04
01,08248,Bon Air,,,,,2025-11-04
01,80352,Weaver,,,,,2025-11-04
01,04948,Beaverton,,,,,2025-11-04
01,65472,Rockford,,,,,2025-11-04
01,38608,Jemison,,,,,2025-11-04
01,14202,Cherokee Ridge,,,,,2025-11-04
01,63768,Red Level,,,,,2025-11-04
01,64776,River Falls,,,,,2025-11-04
01,05692,Benton,,,,,2025-11-04
01,16768,Columbiana,,,,,2025-11-04
01,37465,Indian Springs Village,,,,,2025-11-04
01,58848,Pelham,,,,,2025-11-04
01,26896,Florence,,,,,2025-11-04
01,81504,Westover,,,,,2025-11-04
01,70896,Skyline,,,,,2025-11-04
01,33256,Harpersville,,,,,2025-11-04
01,82848,Wilsonville,,,,,2025-11-04
01,67536,St. Florian,,,,,2025-11-04
01,14104,Chelsea,,,,,2025-11-04
01,67920,Sand Rock,,,,,2025-11-04
01,16600,Collinsville,,,,,2025-11-04
01,57024,Onycha,,,,,2025-11-04
01,06460,Billingsley,,,,,2025-11-04
01,29608,Geraldine,,,,,2025-11-04
01,03028,Attalla,,,,,2025-11-04
01,61536,Pollard,,,,,2025-11-04
01,20296,Demopolis,,,,,2025-11-04
01,68736,Scottsboro,,,,,2025-11-04
01,78240,Valley Head,,,,,2025-11-04
01,57696,Paint Rock,,,,,2025-11-04
01,69120,Selma,,,,,2025-11-04
01,28672,Fyffe,,,,,2025-11-04
01,77616,Union,,,,,2025-11-04
01,79344,Wadley,,,,,2025-11-04
01,80496,Wedowee,,,,,2025-11-04
01,09400,Brighton,,,,,2025-11-04
01,65040,Roanoke,,,,,2025-11-04
01,03940,Banks,,,,,2025-11-04
01,12040,Cardiff,,,,,2025-11-04
01,35800,Homewood,,,,,2025-11-04
01,31384,Graysville,,,,,2025-11-04
01,37864,Irondale,,,,,2025-11-04
01,43336,Lipscomb,,,,,2025-11-04
01,29056,Gardendale,,,,,2025-11-04
01,77256,Tuscaloosa,,,,,2025-11-04
01,47728,Maytown,,,,,2025-11-04
01,24688,Eva,,,,,2025-11-04
01,74160,Susan Moore,,,,,2025-11-04
01,36448,Hueytown,,,,,2025-11-04
01,29992,Glencoe,,,,,2025-11-04
01,59640,Piedmont,,,,,2025-11-04
01,05980,Bessemer,,,,,2025-11-04
01,73080,Stevenson,,,,,2025-11-04
01,09328,Bridgeport,,,,,2025-11-04
01,21952,Dutton,,,,,2025-11-04
01,35632,Hollywood,,,,,2025-11-04
01,37264,Hytop,,,,,2025-11-04
01,41368,Langston,,,,,2025-11-04
01,09136,Brent,,,,,2025-11-04
01,69000,Section,,,,,2025-11-04
01,61038,Pleasant Groves,,,,,2025-11-04
01,64656,Ridgeville,,,,,2025-11-04
01,63288,Rainbow City,,,,,2025-11-04
01,16000,Coaling,,,,,2025-11-04
01,16312,Coker,,,,,2025-11-04
01,40928,Lake View,,,,,2025-11-04
01,79728,Walnut Grove,,,,,2025-11-04
01,38248,Jacksons' Gap,,,,,2025-11-04
01,30448,Goldville,,,,,2025-11-04
01,54480,Newton,,,,,2025-11-04
01,59832,Pinckard,,,,,2025-11-04
01,52776,Mulga,,,,,2025-11-04
01,54432,New Site,,,,,2025-11-04
01,74424,Sylvan Springs,,,,,2025-11-04
01,76680,Trafford,,,,,2025-11-04
01,20104,Decatur,,,,,2025-11-04
01,00484,Addison,,,,,2025-11-04
01,76944,Trussville,,,,,2025-11-04
01,23344,Eldridge,,,,,2025-11-04
01,17368,Cordova,,,,,2025-11-04
01,33448,Hartselle,,,,,2025-11-04
01,53472,Needham,,,,,2025-11-04
01,61008,Pleasant Grove,,,,,2025-11-04
01,16744,Columbia,,,,,2025-11-04
01,17824,Cottonwood,,,,,2025-11-04
01,80376,Webb,,,,,2025-11-04
01,30760,Gordon,,,,,2025-11-04
01,18088,Cowarts,,,,,2025-11-04
01,40072,Kinsey,,,,,2025-11-04
01,02260,Ardmore,,,,,2025-11-04
01,29704,Gilbertown,,,,,2025-11-04
01,43384,Lisman,,,,,2025-11-04
01,58968,Pennington,,,,,2025-11-04
01,51264,Mooresville,,,,,2025-11-04
01,76632,Toxey,,,,,2025-11-04
01,70416,Silas,,,,,2025-11-04
01,11032,Butler,,,,,2025-11-04
01,18304,Creola,,,,,2025-11-04
01,12304,Carrollton,,,,,2025-11-04
01,68352,Satsuma,,,,,2025-11-04
01,25648,Falkville,,,,,2025-11-04
01,62472,Priceville,,,,,2025-11-04
01,19744,Dauphin Island,,,,,2025-11-04
01,32536,Gu-Win,,,,,2025-11-04
01,00124,Abbeville,,,,,2025-11-04
01,18952,Cuba,,,,,2025-11-04
01,70536,Silverhill,,,,,2025-11-04
01,25840,Fayette,,,,,2025-11-04
01,05932,Berry,,,,,2025-11-04
01,73872,Summerdale,,,,,2025-11-04
01,48064,Mentone,,,,,2025-11-04
01,63336,Rainsville,,,,,2025-11-04
01,45784,Madison,,,,,2025-11-04
01,32272,Gulf Shores,,,,,2025-11-04
01,19648,Daphne,,,,,2025-11-04
01,71976,Spanish Fort,,,,,2025-11-04
01,57144,Orange Beach,,,,,2025-11-04
01,18856,Crossville,,,,,2025-11-04
01,29944,Glen Allen,,,,,2025-11-04
01,59880,Pine Apple,,,,,2025-11-04
01,60240,Pine Hill,,,,,2025-11-04
01,11512,Camden,,,,,2025-11-04
01,71040,Slocomb,,,,,2025-11-04
01,01756,Anderson,,,,,2025-11-04
01,55848,Oak Hill,,,,,2025-11-04
01,80064,Waterloo,,,,,2025-11-04
01,39784,Killen,,,,,2025-11-04
01,23872,Emelle,,,,,2025-11-04
01,83640,Woodstock,,,,,2025-11-04
01,67800,Samson,,,,,2025-11-04
01,28312,Frisco City,,,,,2025-11-04
01,09808,Brookwood,,,,,2025-11-04
01,55200,Northport,,,,,2025-11-04
01,81912,White Hall,,,,,2025-11-04
01,21448,Dozier,,,,,2025-11-04
01,01708,Andalusia,,,,,2025-11-04
01,51000,Montgomery,,,,,2025-11-04
01,12160,Carolina,,,,,2025-11-04
01,03556,Babbie,,,,,2025-11-04
01,28936,Gantt,,,,,2025-11-04
01,33904,Heath,,,,,2025-11-04
01,13672,Centreville,,,,,2025-11-04
01,26848,Florala,,,,,2025-11-04
01,29560,Georgiana,,,,,2025-11-04
01,45472,McIntosh,,,,,2025-11-04
01,36088,Horn Hill,,,,,2025-11-04
01,51600,Moulton,,,,,2025-11-04
01,43816,Lockhart,,,,,2025-11-04
01,07456,Blountsville,,,,,2025-11-04
01,77880,Union Springs,,,,,2025-11-04
01,01396,Allgood,,,,,2025-11-04
01,77784,Union Grove,,,,,2025-11-04
01,15472,Cleveland,,,,,2025-11-04
01,33640,Hayden,,,,,2025-11-04
01,14008,Chatom,,,,,2025-11-04
01,55752,Oak Grove,,,,,2025-11-04
01,74352,Sylacauga,,,,,2025-11-04
01,76584,Town Creek,,,,,2025-11-04
01,43120,Lincoln,,,,,2025-11-04
01,79488,Waldo,,,,,2025-11-04
01,80256,Waverly,,,,,2025-11-04
01,26200,Five Points,,,,,2025-11-04
01,02320,Argo,,,,,2025-11-04
01,01660,Altoona,,,,,2025-11-04
01,78264,Vance,,,,,2025-11-04
01,74976,Tarrant,,,,,2025-11-04
01,28768,Gainesville,,,,,2025-11-04
01,43720,Livingston,,,,,2025-11-04
01,70128,Shorter,,,,,2025-11-04
01,24256,Epes,,,,,2025-11-04
01,34816,Hillsboro,,,,,2025-11-04
01,30880,Goshen,,,,,2025-11-04
01,21280,Double Springs,,,,,2025-11-04
01,32704,Haleyville,,,,,2025-11-04
01,44728,Luverne,,,,,2025-11-04
01,09016,Brantley,,,,,2025-11-04
01,39520,Kennedy,,,,,2025-11-04
01,23320,Elberta,,,,,2025-11-04
01,04660,Bay Minette,,,,,2025-11-04
01,24184,Enterprise,,,,,2025-11-04
01,32848,Hamilton,,,,,2025-11-04
01,79944,Warrior,,,,,2025-11-04
01,81336,West Jefferson,,,,,2025-11-04
01,51648,Moundville,,,,,2025-11-04
01,19336,Dadeville,,,,,2025-11-04
01,74688,Tallassee,,,,,2025-11-04
01,24568,Eufaula,,,,,2025-11-04
01,09424,Brilliant,,,,,2025-11-04
01,04852,Bear Creek,,,,,2025-11-04
01,44344,Louisville,,,,,2025-11-04
01,82872,Wilton,,,,,2025-11-04
01,01132,Alexander City,,,,,2025-11-04
01,02428,Ariton,,,,,2025-11-04
01,15304,Clayhatchee,,,,,2025-11-04
01,00820,Alabaster,,,,,2025-11-04
01,50312,Montevallo,,,,,2025-11-04
01,53256,Napier Field,,,,,2025-11-04
01,03220,Autaugaville,,,,,2025-11-04
01,59088,Perdido Beach,,,,,2025-11-04
01,43264,Lineville,,,,,2025-11-04
01,11680,Camp Hill,,,,,2025-11-04
01,19816,Daviston,,,,,2025-11-04
01,51520,Mosses,,,,,2025-11-04
01,34096,Henagar,,,,,2025-11-04
01,37312,Ider,,,,,2025-11-04
01,40888,Lakeview,,,,,2025-11-04
01,60372,Pine Ridge,,,,,2025-11-04
01,62075,Powell,,,,,2025-11-04
01,42472,Level Plains,,,,,2025-11-04
01,03724,Bakerhill,,,,,2025-11-04
01,12760,Cedar Bluff,,,,,2025-11-04
01,29296,Gaylesville,,,,,2025-11-04
01,42016,Leesburg,,,,,2025-11-04
01,02860,Ashland,,,,,2025-11-04
01,48832,Millry,,,,,2025-11-04
01,71280,Snead,,,,,2025-11-04
01,41296,Lanett,,,,,2025-11-04
01,15064,Citronelle,,,,,2025-11-04
01,62496,Prichard,,,,,2025-11-04
01,52608,Mount Vernon,,,,,2025-11-04
01,17968,County Line,,,,,2025-11-04
01,46264,Malvern,,,,,2025-11-04
01,31912,Greenville,,,,,2025-11-04
01,28696,Gadsden,,,,,2025-11-04
01,35392,Hokes Bluff,,,,,2025-11-04
01,63984,Reece City,,,,,2025-11-04
01,05164,Belk,,,,,2025-11-04
01,82992,Winfield,,,,,2025-11-04
01,69840,Shiloh,,,,,2025-11-04
01,55440,Notasulga,,,,,2025-11-04
01,00100,Abanda,,,,,2025-11-04
01,03820,Ballplay,,,,,2025-11-04
01,09457,Bristow Cove,,,,,2025-11-04
01,52344,Mount Olive,,,,,2025-11-04
01,01180,Alexandria,,,,,2025-11-04
01,03508,Axis,,,,,2025-11-04
01,12544,Catherine,,,,,2025-11-04
01,48400,Midland City,,,,,2025-11-04
01,05140,Belgreen,,,,,2025-11-04
01,33544,Hatton,,,,,2025-11-04
01,05188,Bellamy,,,,,2025-11-04
01,19024,Cullomburg,,,,,2025-11-04
01,28408,Fruitdale,,,,,2025-11-04
01,42304,Leroy,,,,,2025-11-04
01,05212,Belle Fontaine,,,,,2025-11-04
01,24616,Eunola,,,,,2025-11-04
01,26152,Fitzpatrick,,,,,2025-11-04
01,07588,Blue Ridge,,,,,2025-11-04
01,28024,Franklin,,,,,2025-11-04
01,08680,Boykin,,,,,2025-11-04
01,09064,Brantleyville,,,,,2025-11-04
